[2025-09-09 | 16:32:23] Successful request
[2025-09-11 | 21:35:28] Successful init CURL to image download
[2025-09-11 | 21:35:28] Successful creating image file
[2025-09-11 | 21:35:29] Successful download image/home/p1rat/code/rwal/wallpaper-q2rom5.png
[2025-09-11 | 21:39:55] Starting program
[2025-09-11 | 21:39:56] Try to request
[2025-09-11 | 21:39:57] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:39:57] Successful request
[2025-09-11 | 21:39:57] Try to parse
[2025-09-11 | 21:39:57] Successful parse JSON
[2025-09-11 | 21:39:57] Data of JSON: 2409
[2025-09-11 | 21:39:57] Try to request
[2025-09-11 | 21:39:57] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&page=217&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:39:57] Successful request
[2025-09-11 | 21:39:57] Try to parse
[2025-09-11 | 21:39:57] Successful parse JSON
[2025-09-11 | 21:39:57] Data of JSON: https://w.wallhaven.cc/full/g8/wallhaven-g8e753.png
[2025-09-11 | 21:39:57] Try to delete old image
[2025-09-11 | 21:39:57] Successful deleting old image
[2025-09-11 | 21:39:57] Data of JSON: image/png
[2025-09-11 | 21:39:57] Successful init CURL to image download
[2025-09-11 | 21:39:57] Successful creating image file
[2025-09-11 | 21:40:03] Successful download image/home/p1rat/code/rwal/wallpaper-g8e753.png
[2025-09-11 | 21:40:05] Try to request
[2025-09-11 | 21:40:06] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:06] Successful request
[2025-09-11 | 21:40:06] Try to parse
[2025-09-11 | 21:40:06] Successful parse JSON
[2025-09-11 | 21:40:06] Data of JSON: 2409
[2025-09-11 | 21:40:06] Try to request
[2025-09-11 | 21:40:06] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&page=213&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:06] Successful request
[2025-09-11 | 21:40:06] Try to parse
[2025-09-11 | 21:40:06] Successful parse JSON
[2025-09-11 | 21:40:06] Data of JSON: https://w.wallhaven.cc/full/wy/wallhaven-wy3kyr.png
[2025-09-11 | 21:40:06] Try to delete old image
[2025-09-11 | 21:40:06] Successful deleting old image
[2025-09-11 | 21:40:06] Data of JSON: image/png
[2025-09-11 | 21:40:06] Successful init CURL to image download
[2025-09-11 | 21:40:06] Successful creating image file
[2025-09-11 | 21:40:07] Successful download image/home/p1rat/code/rwal/wallpaper-wy3kyr.png
[2025-09-11 | 21:40:09] Try to request
[2025-09-11 | 21:40:09] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:09] Successful request
[2025-09-11 | 21:40:09] Try to parse
[2025-09-11 | 21:40:09] Successful parse JSON
[2025-09-11 | 21:40:09] Data of JSON: 2409
[2025-09-11 | 21:40:09] Try to request
[2025-09-11 | 21:40:09] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&page=177&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:09] Successful request
[2025-09-11 | 21:40:09] Try to parse
[2025-09-11 | 21:40:09] Successful parse JSON
[2025-09-11 | 21:40:09] Data of JSON: https://w.wallhaven.cc/full/4l/wallhaven-4lrpky.jpg
[2025-09-11 | 21:40:09] Try to delete old image
[2025-09-11 | 21:40:09] Successful deleting old image
[2025-09-11 | 21:40:09] Data of JSON: image/jpeg
[2025-09-11 | 21:40:09] Successful init CURL to image download
[2025-09-11 | 21:40:09] Successful creating image file
[2025-09-11 | 21:40:10] Successful download image/home/p1rat/code/rwal/wallpaper-4lrpky.jpeg
[2025-09-11 | 21:40:12] Try to request
[2025-09-11 | 21:40:12] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:12] Successful request
[2025-09-11 | 21:40:12] Try to parse
[2025-09-11 | 21:40:12] Successful parse JSON
[2025-09-11 | 21:40:12] Data of JSON: 2409
[2025-09-11 | 21:40:12] Try to request
[2025-09-11 | 21:40:13] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&page=64&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:13] Successful request
[2025-09-11 | 21:40:13] Try to parse
[2025-09-11 | 21:40:13] Successful parse JSON
[2025-09-11 | 21:40:13] Data of JSON: https://w.wallhaven.cc/full/vq/wallhaven-vqyqpm.png
[2025-09-11 | 21:40:13] Try to delete old image
[2025-09-11 | 21:40:13] Successful deleting old image
[2025-09-11 | 21:40:13] Data of JSON: image/png
[2025-09-11 | 21:40:13] Successful init CURL to image download
[2025-09-11 | 21:40:13] Successful creating image file
[2025-09-11 | 21:40:14] Successful download image/home/p1rat/code/rwal/wallpaper-vqyqpm.png
[2025-09-11 | 21:40:15] Try to request
[2025-09-11 | 21:40:15] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:15] Successful request
[2025-09-11 | 21:40:15] Try to parse
[2025-09-11 | 21:40:15] Successful parse JSON
[2025-09-11 | 21:40:15] Data of JSON: 2409
[2025-09-11 | 21:40:15] Try to request
[2025-09-11 | 21:40:16] url of request: https://wallhaven.cc/api/v1/search?q=anime&purity=100%20&sorting=random&resolutions=1920x1080&page=154&apikey=an1CFSaR5hyU5D5AM7lCl66FCzp9Dp4a
[2025-09-11 | 21:40:16] Successful request
[2025-09-11 | 21:40:16] Try to parse
[2025-09-11 | 21:40:16] Successful parse JSON
[2025-09-11 | 21:40:16] Data of JSON: https://w.wallhaven.cc/full/o5/wallhaven-o5mpxp.png
[2025-09-11 | 21:40:16] Try to delete old image
[2025-09-11 | 21:40:16] Successful deleting old image
[2025-09-11 | 21:40:16] Data of JSON: image/png
[2025-09-11 | 21:40:16] Successful init CURL to image download
[2025-09-11 | 21:40:16] Successful creating image file
[2025-09-11 | 21:40:17] Successful download image/home/p1rat/code/rwal/wallpaper-o5mpxp.png
[2025-09-11 | 21:40:28] Ending program
[2025-09-11 | 21:42:03] Starting program
[2025-09-11 | 21:42:24] Starting program
[2025-09-11 | 21:42:53] Starting program
[2025-09-11 | 21:43:53] Starting program
[2025-09-11 | 21:44:21] Starting program
[2025-09-11 | 21:45:34] Starting program
[2025-09-11 | 21:54:14] Starting program
[2025-09-11 | 21:54:46] Starting program
[2025-09-11 | 21:55:13] Starting program
[2025-09-11 | 21:59:41] Starting program
[2025-09-11 | 22:01:08] Starting program
[2025-09-11 | 22:01:19] Ending program
[2025-09-11 | 22:03:38] Starting program
